display_name_input,display_name_matched,source_id,issn,works_count,host_org
ANNALS OF THORACIC MEDICINE,Annals of Thoracic Medicine,https://openalex.org/S61390954,1998-3557|1817-1737,822,Medknow
ANNALS OF TRANSPLANTATION,Annals of Transplantation,https://openalex.org/S18427172,1425-9524|2329-0358,1367,International Scientific Information Inc.
ANNALS OF VASCULAR SURGERY,Annals of Vascular Surgery,https://openalex.org/S124584150,0890-5096|1615-5947,10870,Elsevier BV
ANNALS OF WORK EXPOSURES AND HEALTH,Annals of Work Exposures and Health,https://openalex.org/S2734824697,2398-7308|2398-7316,733,Oxford University Press
ANNUAL REVIEW OF ANALYTICAL CHEMISTRY,Annual Review of Analytical Chemistry,https://openalex.org/S171259723,1936-1327|1936-1335,360,Annual Reviews
ANNUAL REVIEW OF ANIMAL BIOSCIENCES,Annual Review of Animal Biosciences,https://openalex.org/S2491293328,2165-8102|2165-8110,241,Annual Reviews
ANNUAL REVIEW OF ASTRONOMY AND ASTROPHYSICS,Annual Review of Astronomy and Astrophysics,https://openalex.org/S29882555,0066-4146|1545-4282,1282,Annual Reviews
ANNUAL REVIEW OF BIOCHEMISTRY,Annual Review of Biochemistry,https://openalex.org/S53860259,0066-4154|1545-4509,3159,Annual Reviews
ANNUAL REVIEW OF BIOMEDICAL DATA  SCIENCE,Annual Review of Biomedical Data Science,https://openalex.org/S4210232080,2574-3414,93,Annual Reviews
ANNUAL REVIEW OF BIOMEDICAL ENGINEERING,Annual Review of Biomedical Engineering,https://openalex.org/S171268996,1523-9829|1545-4274,472,Annual Reviews
ANNUAL REVIEW OF BIOPHYSICS,Annual Review of Biophysics,https://openalex.org/S4157722,1936-122X|1936-1238,370,Annual Reviews
ANNUAL REVIEW OF CANCER BIOLOGY,Annual Review of Cancer Biology,https://openalex.org/S4210178937,2472-3428,161,Annual Reviews
ANNUAL REVIEW OF CELL AND DEVELOPMENTAL BIOLOGY,Annual Review of Cell and Developmental Biology,https://openalex.org/S93285647,1081-0706|1530-8995,967,Annual Reviews
ANNUAL REVIEW OF CHEMICAL AND BIOMOLECULAR ENGINEERING,Annual Review of Chemical and Biomolecular Engineering,https://openalex.org/S161759566,1947-5438|1947-5446,318,Annual Reviews
ANNUAL REVIEW OF CLINICAL PSYCHOLOGY,Annual Review of Clinical Psychology,https://openalex.org/S87014875,1548-5943|1548-5951,429,Annual Reviews
ANNUAL REVIEW OF CONDENSED MATTER PHYSICS,Annual Review of Condensed Matter Physics,https://openalex.org/S185750702,1947-5454|1947-5462,273,Annual Reviews
ANNUAL REVIEW OF CONTROL ROBOTICS AND AUTONOMOUS SYSTEMS,Annual Review of Control Robotics and Autonomous Systems,https://openalex.org/S4210191328,2573-5144,129,Annual Reviews
ANNUAL REVIEW OF EARTH AND PLANETARY SCIENCES,Annual Review of Earth and Planetary Sciences,https://openalex.org/S135981667,0084-6597|1545-4495,1292,Annual Reviews
ANNUAL REVIEW OF ECOLOGY EVOLUTION AND SYSTEMATICS,Annual Review of Ecology Evolution and Systematics,https://openalex.org/S119405978,1543-592X|1545-2069,534,Annual Reviews
ANNUAL REVIEW OF ENTOMOLOGY,Annual Review of Entomology,https://openalex.org/S92576693,0066-4170|1545-4487,1958,Annual Reviews
ANNUAL REVIEW OF ENVIRONMENT AND RESOURCES,Annual Review of Environment and Resources,https://openalex.org/S5491134,1543-5938|1545-2050,458,Annual Reviews
ANNUAL REVIEW OF FLUID MECHANICS,Annual Review of Fluid Mechanics,https://openalex.org/S169493037,0066-4189|1545-4479,1328,Annual Reviews
ANNUAL REVIEW OF FOOD SCIENCE AND TECHNOLOGY,Annual Review of Food Science and Technology,https://openalex.org/S4210185937,1941-1421|1941-1413,328,Annual Reviews
ANNUAL REVIEW OF GENETICS,Annual Review of Genetics,https://openalex.org/S92134727,0066-4197|1545-2948,1526,Annual Reviews
ANNUAL REVIEW OF GENOMICS AND HUMAN GENETICS,Annual Review of Genomics and Human Genetics,https://openalex.org/S8095556,1527-8204|1545-293X,481,Annual Reviews
ANNUAL REVIEW OF IMMUNOLOGY,Annual Review of Immunology,https://openalex.org/S109088427,0732-0582|1545-3278,1384,Annual Reviews
ANNUAL REVIEW OF MARINE SCIENCE,Annual Review of Marine Science,https://openalex.org/S43203325,1941-0611|1941-1405,342,Annual Reviews
ANNUAL REVIEW OF MATERIALS RESEARCH,Annual Review of Materials Research,https://openalex.org/S165210498,1531-7331|1545-4118,463,Annual Reviews
ANNUAL REVIEW OF MEDICINE,Annual Review of Medicine,https://openalex.org/S16909082,0066-4219|1545-326X,2955,Annual Reviews
ANNUAL REVIEW OF MICROBIOLOGY,Annual Review of Microbiology,https://openalex.org/S82779230,0066-4227|1545-3251,2301,Annual Reviews
ANNUAL REVIEW OF NEUROSCIENCE,Annual Review of Neuroscience,https://openalex.org/S131371711,0147-006X|1545-4126,1295,Annual Reviews
ANNUAL REVIEW OF NUCLEAR AND PARTICLE SCIENCE,Annual Review of Nuclear and Particle Science,https://openalex.org/S112282628,0163-8998|1545-4134,759,Annual Reviews
ANNUAL REVIEW OF NUTRITION,Annual Review of Nutrition,https://openalex.org/S160110530,0199-9885|1545-4312,1255,Annual Reviews
ANNUAL REVIEW OF PHYSICAL CHEMISTRY,Annual Review of Physical Chemistry,https://openalex.org/S136526455,0066-426X|1545-1593,1993,Annual Reviews
ANNUAL REVIEW OF PHYSIOLOGY,Annual Review of Physiology,https://openalex.org/S196366644,0066-4278|1545-1585,3177,Annual Reviews
ANNUAL REVIEW OF PHYTOPATHOLOGY,Annual Review of Phytopathology,https://openalex.org/S165675472,0066-4286|1545-2107,1715,Annual Reviews
ANNUAL REVIEW OF PLANT BIOLOGY,Annual Review of Plant Biology,https://openalex.org/S176558078,1543-5008|1545-2123,625,Annual Reviews
ANNUAL REVIEW OF PSYCHOLOGY,Annual Review of Psychology,https://openalex.org/S90670110,0066-4308|1545-2085,2089,Annual Reviews
ANNUAL REVIEW OF PUBLIC HEALTH,Annual Review of Public Health,https://openalex.org/S113591250,0163-7525|1545-2093,1420,Annual Reviews
ANNUAL REVIEW OF RESOURCE ECONOMICS,Annual Review of Resource Economics,https://openalex.org/S76844451,1941-1359|1941-1340,358,Annual Reviews
ANNUAL REVIEW OF STATISTICS AND ITS APPLICATION,Annual Review of Statistics and Its Application,https://openalex.org/S4210217375,2326-8298|2326-831X,224,Annual Reviews
ANNUAL REVIEW OF VIROLOGY,Annual Review of Virology,https://openalex.org/S2764917282,2327-056X|2327-0578,278,Annual Reviews
ANNUAL REVIEW OF VISION SCIENCE,Annual Review of Vision Science,https://openalex.org/S4210222997,2374-4642|2374-4650,205,Annual Reviews
ANNUAL REVIEWS IN CONTROL,Annual Reviews in Control,https://openalex.org/S54761077,1367-5788|1872-9088,951,Elsevier BV
ANTARCTIC SCIENCE,Antarctic Science,https://openalex.org/S939558408,0954-1020|1365-2079,2576,Cambridge University Press
ANTHROPOCENE,Anthropocene,https://openalex.org/S2898452301,2213-3054,355,Elsevier BV
ANTHROPOLOGICAL SCIENCE,Anthropological Science,https://openalex.org/S4210177751,0918-7960|1348-8570,688,
ANTI-CANCER AGENTS IN MEDICINAL CHEMISTRY,Anti-Cancer Agents in Medicinal Chemistry,https://openalex.org/S159246083,1871-5206|1875-5992,2992,Bentham Science Publishers
ANTI-CANCER DRUGS,Anti-Cancer Drugs,https://openalex.org/S158028025,0959-4973|1473-5741,4713,Lippincott Williams & Wilkins
ANTI-CORROSION METHODS AND MATERIALS,Anti-Corrosion Methods and Materials,https://openalex.org/S91306253,0003-5599|1758-4221,7597,Emerald Publishing Limited
ANTICANCER RESEARCH,Anticancer Research,https://openalex.org/S157347057,0250-7005|1791-7530,5669,"International Institute of Anticancer Research (IIAR) Conferences 1997. Athens, Greece. Abstracts"
ANTIMICROBIAL AGENTS AND CHEMOTHERAPY,Antimicrobial Agents and Chemotherapy,https://openalex.org/S47215897,0066-4804|1070-6283|1098-6596,32140,American Society for Microbiology
ANTIMICROBIAL RESISTANCE AND INFECTION CONTROL,Antimicrobial Resistance and Infection Control,https://openalex.org/S2737606590,2047-2994,2214,BioMed Central
ANTIOXIDANTS,Antioxidants,https://openalex.org/S2737566431,2076-3921,7906,Multidisciplinary Digital Publishing Institute
ANTIVIRAL RESEARCH,Antiviral Research,https://openalex.org/S137372404,0166-3542|1872-9096,8628,Elsevier BV
ANTIVIRAL THERAPY,Antiviral Therapy,https://openalex.org/S137629795,1359-6535|2040-2058,2582,SAGE Publishing
ANZ JOURNAL OF SURGERY,ANZ Journal of Surgery,https://openalex.org/S40489520,1445-1433|1445-2197,19759,Wiley
ANZIAM JOURNAL,ANZIAM Journal,https://openalex.org/S4210233119,1445-8810,1456,
AOB PLANTS,AoB Plants,https://openalex.org/S77453907,2041-2851,973,Oxford University Press
AORN JOURNAL,AORN Journal,https://openalex.org/S5303612,0001-2092|1878-0369,20638,Wiley
APHASIOLOGY,Aphasiology,https://openalex.org/S86063550,0268-7038|1464-5041,2891,Taylor & Francis
APIDOLOGIE,Apidologie,https://openalex.org/S126796143,0044-8435|1297-9678,2912,Springer Science+Business Media
APL BIOENGINEERING,APL Bioengineering,https://openalex.org/S4210206319,2473-2877,293,AIP Publishing
APL MATERIALS,APL Materials,https://openalex.org/S150722692,2166-532X,2048,American Institute of Physics
APL PHOTONICS,APL Photonics,https://openalex.org/S4210226744,2378-0967,862,AIP Publishing
APMIS,Apmis,https://openalex.org/S135377718,0903-4641|1600-0463,6132,Wiley
APOPTOSIS,APOPTOSIS,https://openalex.org/S120502300,1360-8185|1573-675X,2702,Springer Science+Business Media
APPETITE,Appetite,https://openalex.org/S126804734,0195-6663|1095-8304,11013,Elsevier BV
APPLICABLE ALGEBRA IN ENGINEERING COMMUNICATION AND COMPUTING,Applicable Algebra in Engineering Communication and Computing,https://openalex.org/S44535979,0938-1279|1432-0622,1048,Springer Science+Business Media
APPLICABLE ANALYSIS,Applicable Analysis,https://openalex.org/S68029218,0003-6811|1026-7360|1563-504X,5291,Taylor & Francis
APPLICABLE ANALYSIS AND DISCRETE MATHEMATICS,Applicable Analysis and Discrete Mathematics,https://openalex.org/S5502893,1452-8630|2406-100X,534,University of Belgrade
APPLICATIONS IN PLANT SCIENCES,Applications in Plant Sciences,https://openalex.org/S2736862409,2168-0450,986,Botanical Society of America
APPLICATIONS OF MATHEMATICS,Applications of Mathematics,https://openalex.org/S110796159,0862-7940|1572-9109,2582,Springer Science+Business Media
APPLIED ACOUSTICS,Applied Acoustics,https://openalex.org/S971171794,0003-682X|1872-910X,8463,Elsevier BV
APPLIED AND COMPUTATIONAL HARMONIC ANALYSIS,Applied and Computational Harmonic Analysis,https://openalex.org/S71199174,1063-5203|1096-603X,1593,Elsevier BV
APPLIED AND COMPUTATIONAL MATHEMATICS,Applied and Computational Mathematics,https://openalex.org/S4210184943,2328-5605|2328-5613,295,Science Publishing Group
APPLIED AND ENVIRONMENTAL MICROBIOLOGY,Applied and Environmental Microbiology,https://openalex.org/S158228368,0099-2240|1070-6291|1098-5336,36510,American Society for Microbiology
APPLIED ANIMAL BEHAVIOUR SCIENCE,Applied Animal Behaviour Science,https://openalex.org/S179500637,0168-1591|1872-9045,6719,Elsevier BV
APPLIED ARTIFICIAL INTELLIGENCE,Applied Artificial Intelligence,https://openalex.org/S125501549,0883-9514|1087-6545,1695,Taylor & Francis
APPLIED BIOCHEMISTRY AND BIOTECHNOLOGY,Applied Biochemistry and Biotechnology,https://openalex.org/S153285774,0273-2289|1559-0291,10048,Springer Science+Business Media
APPLIED BIOCHEMISTRY AND MICROBIOLOGY,Applied Biochemistry and Microbiology,https://openalex.org/S37200030,0003-6838|1608-3024,2811,Pleiades Publishing
APPLIED BIOLOGICAL CHEMISTRY,Applied Biological Chemistry,https://openalex.org/S2764370109,2468-0834|2468-0842,2803,Springer Nature
APPLIED BIONICS AND BIOMECHANICS,Applied Bionics and Biomechanics,https://openalex.org/S50311662,1176-2322|1754-2103,1331,Hindawi Publishing Corporation
APPLIED CATEGORICAL STRUCTURES,Applied Categorical Structures,https://openalex.org/S148906134,0927-2852|1572-9095,1562,Springer Science+Business Media
APPLIED CLAY SCIENCE,Applied Clay Science,https://openalex.org/S37411791,0169-1317|1872-9053,7044,Elsevier BV
APPLIED CLINICAL INFORMATICS,Applied Clinical Informatics,https://openalex.org/S187139995,1869-0327,1165,Thieme Medical Publishers (Germany)
APPLIED COMPOSITE MATERIALS,Applied Composite Materials,https://openalex.org/S29747708,0929-189X|1573-4897,1472,Springer Science+Business Media
APPLIED ECOLOGY AND ENVIRONMENTAL RESEARCH,Applied Ecology and Environmental Research,https://openalex.org/S87697115,1589-1623|1785-0037,3825,Hungarian University of Agriculture and Life Sciences
APPLIED ECONOMIC PERSPECTIVES AND POLICY,Applied Economic Perspectives and Policy,https://openalex.org/S4210201861,2040-5790|2040-5804,1155,Wiley
APPLIED ENERGY,Applied Energy,https://openalex.org/S109565702,0306-2619|1872-9118,21556,Elsevier BV
APPLIED ENGINEERING IN AGRICULTURE,Applied Engineering in Agriculture,https://openalex.org/S199825796,0883-8542|1943-7838,3688,American Society of Agricultural and Biological Engineers
APPLIED ENTOMOLOGY AND ZOOLOGY,Applied Entomology and Zoology,https://openalex.org/S72420026,0003-6862|1347-605X,4259,Springer Science+Business Media
APPLIED ERGONOMICS,Applied Ergonomics,https://openalex.org/S94432539,0003-6870|1872-9126,10952,Elsevier BV
APPLIED FRUIT SCIENCE,Applied Fruit Science,https://openalex.org/S4390648484,2948-2623|2948-2631,0,Springer Science+Business Media
APPLIED GEOCHEMISTRY,Applied Geochemistry,https://openalex.org/S105929320,0883-2927|1872-9134,6298,Elsevier BV
APPLIED GEOPHYSICS,Applied Geophysics,https://openalex.org/S166338752,1672-7975|1993-0658,977,Springer Science+Business Media
APPLIED HEALTH ECONOMICS AND HEALTH POLICY,Applied Health Economics and Health Policy,https://openalex.org/S194514787,1175-5652|1179-1896,1061,"Adis, Springer Healthcare"
APPLIED IMMUNOHISTOCHEMISTRY & MOLECULAR MORPHOLOGY,Applied immunohistochemistry & molecular morphology,https://openalex.org/S42732013,1533-4058|1541-2016,2376,Lippincott Williams & Wilkins
APPLIED INTELLIGENCE,Applied Intelligence,https://openalex.org/S74726891,0924-669X|1573-7497,5004,Springer Science+Business Media
APPLIED MAGNETIC RESONANCE,Applied Magnetic Resonance,https://openalex.org/S49415658,0937-9347|1613-7507,3256,Springer Science+Business Media
APPLIED MATERIALS TODAY,Applied Materials Today,https://openalex.org/S2764609219,2352-9407|2352-9415,1791,Elsevier BV
APPLIED MATHEMATICAL MODELLING,Applied Mathematical Modelling,https://openalex.org/S153281200,0307-904X|1872-8480,11278,Elsevier BV
APPLIED MATHEMATICS AND COMPUTATION,Applied Mathematics and Computation,https://openalex.org/S50372074,0096-3003|1873-5649,23418,Elsevier BV
APPLIED MATHEMATICS IN SCIENCE AND ENGINEERING,Applied Mathematics in Science and Engineering,https://openalex.org/S4220651278,2769-0911,65,Taylor & Francis
APPLIED MATHEMATICS LETTERS,Applied Mathematics Letters,https://openalex.org/S7571225,0893-9659|1873-5452,8391,Elsevier BV
APPLIED MECHANICS REVIEWS,Applied Mechanics Reviews,https://openalex.org/S83146831,0003-6900|1088-8535|2379-0407,1713,American Society of Mechanical Engineers
APPLIED MICROBIOLOGY AND BIOTECHNOLOGY,Applied Microbiology and Biotechnology,https://openalex.org/S70979998,0175-7598|1432-0614,19462,Springer Science+Business Media
APPLIED NUMERICAL MATHEMATICS,Applied Numerical Mathematics,https://openalex.org/S24251679,0168-9274|1873-5460,4872,Elsevier BV
APPLIED NURSING RESEARCH,Applied Nursing Research,https://openalex.org/S144851420,0897-1897|1532-8201,2324,Elsevier BV
APPLIED OCEAN RESEARCH,Applied Ocean Research,https://openalex.org/S19503097,0141-1187|1879-1549,3780,Elsevier BV
APPLIED ONTOLOGY,Applied Ontology,https://openalex.org/S31619775,1570-5838|1875-8533,300,IOS Press
APPLIED OPTICS,Applied Optics,https://openalex.org/S4210238599,0003-6935,44467,Optica Publishing Group
APPLIED ORGANOMETALLIC CHEMISTRY,Applied Organometallic Chemistry,https://openalex.org/S134627157,0268-2605|1099-0739,8173,Wiley
APPLIED PHYSICS EXPRESS,Applied Physics Express,https://openalex.org/S54409865,1882-0778|1882-0786,6528,Institute of Physics
APPLIED PHYSICS LETTERS,Applied Physics Letters,https://openalex.org/S105243760,0003-6951|1077-3118|1520-8842,131325,American Institute of Physics
APPLIED PHYSICS REVIEWS,Applied Physics Reviews,https://openalex.org/S4210229136,1931-9401,686,American Institute of Physics
APPLIED PHYSIOLOGY NUTRITION AND METABOLISM,Applied Physiology Nutrition and Metabolism,https://openalex.org/S173941543,1715-5312|1715-5320,3031,NRC Research Press
APPLIED RADIATION AND ISOTOPES,Applied Radiation and Isotopes,https://openalex.org/S185347286,0969-8043|1872-9800,11193,Elsevier BV
APPLIED RHEOLOGY,Applied Rheology,https://openalex.org/S154928554,1617-8106|1430-6395,1184,De Gruyter
APPLIED SOFT COMPUTING,Applied Soft Computing,https://openalex.org/S140556538,1568-4946|1872-9681,9332,Elsevier BV
APPLIED SOIL ECOLOGY,Applied Soil Ecology,https://openalex.org/S148244296,0929-1393|1873-0272,4902,Elsevier BV
APPLIED SPECTROSCOPY,Applied Spectroscopy,https://openalex.org/S67069294,0003-7028|1943-3530,12675,SAGE Publishing
APPLIED SPECTROSCOPY REVIEWS,Applied Spectroscopy Reviews,https://openalex.org/S169580768,0570-4928|1520-569X,958,Taylor & Francis
APPLIED STOCHASTIC MODELS IN BUSINESS AND INDUSTRY,Applied Stochastic Models in Business and Industry,https://openalex.org/S178929932,1524-1904|1526-4025,1655,Wiley
APPLIED SURFACE SCIENCE,Applied Surface Science,https://openalex.org/S42323631,0169-4332|1873-5584,59232,Elsevier BV
APPLIED THERMAL ENGINEERING,Applied Thermal Engineering,https://openalex.org/S129676613,1359-4311|1873-5606,22278,Elsevier BV
APPLIED VEGETATION SCIENCE,Applied Vegetation Science,https://openalex.org/S179963793,1402-2001|1654-109X,1619,Wiley
APPLIED WATER SCIENCE,Applied Water Science,https://openalex.org/S2764931087,2190-5495|2190-5487,1887,Springer Nature
AQUACULTURAL ENGINEERING,Aquacultural Engineering,https://openalex.org/S42973710,0144-8609|1873-5614,1848,Elsevier BV
AQUACULTURE,Aquaculture,https://openalex.org/S104261359,0044-8486|1873-5622,23004,Elsevier BV
AQUACULTURE ECONOMICS & MANAGEMENT,Aquaculture Economics & Management,https://openalex.org/S90033409,1365-7305|1365-7313|1551-8663,642,Taylor & Francis
AQUACULTURE ENVIRONMENT INTERACTIONS,Aquaculture Environment Interactions,https://openalex.org/S131334151,1869-215X|1869-7534,463,Inter-Research
AQUACULTURE INTERNATIONAL,Aquaculture International,https://openalex.org/S195136871,0967-6120|1573-143X,2665,Springer Science+Business Media
AQUACULTURE NUTRITION,Aquaculture Nutrition,https://openalex.org/S126023004,1353-5773|1365-2095,2639,Wiley
AQUACULTURE REPORTS,Aquaculture Reports,https://openalex.org/S2764883586,2352-5134,1587,Elsevier BV
AQUACULTURE RESEARCH,Aquaculture Research,https://openalex.org/S185347631,1355-557X|1365-2109,9033,Wiley
AQUATIC BIOLOGY,Aquatic Biology,https://openalex.org/S16354640,1864-7782|1864-7790|2195-2736|2195-2744,782,Inter-Research
AQUATIC BOTANY,Aquatic Botany,https://openalex.org/S61969038,0304-3770|1879-1522,4530,Elsevier BV
AQUATIC ECOLOGY,Aquatic Ecology,https://openalex.org/S157918159,1386-2588|1573-5125,1484,Springer Science+Business Media
AQUATIC ECOSYSTEM HEALTH & MANAGEMENT,Aquatic Ecosystem Health & Management,https://openalex.org/S131171954,1463-4988|1539-4077,1503,Taylor & Francis
AQUATIC GEOCHEMISTRY,Aquatic Geochemistry,https://openalex.org/S53129422,1380-6165|1573-1421,642,Springer Science+Business Media
AQUATIC INSECTS,Aquatic Insects,https://openalex.org/S81722299,0165-0424|1744-4152,1474,Taylor & Francis
AQUATIC INVASIONS,Aquatic Invasions,https://openalex.org/S67121968,1818-5487|1798-6540,1031,Regional Euro-Asian Biological Invasions Centre (REABIC)
AQUATIC LIVING RESOURCES,Aquatic Living Resources,https://openalex.org/S23218126,0990-7440|1765-2952,1380,EDP Sciences
AQUATIC MAMMALS,Aquatic Mammals,https://openalex.org/S60060263,0167-5427|1996-7292,1224,
AQUATIC MICROBIAL ECOLOGY,Aquatic Microbial Ecology,https://openalex.org/S31549366,0948-3055|1616-1564,2003,Inter-Research Science Center
AQUATIC SCIENCES,Aquatic Sciences,https://openalex.org/S118811769,1015-1621|1420-9055,1607,Springer Science+Business Media
AQUATIC TOXICOLOGY,Aquatic Toxicology,https://openalex.org/S183233548,0166-445X|1879-1514,6860,Elsevier BV
ARAB JOURNAL OF GASTROENTEROLOGY,Arab Journal of Gastroenterology,https://openalex.org/S106979931,1687-1979|2090-2387,930,Elsevier BV
ARABIAN JOURNAL FOR SCIENCE AND ENGINEERING,Arabian Journal for Science and Engineering,https://openalex.org/S4210185304,2191-4281|2193-567X,5448,Springer Science+Business Media
ARABIAN JOURNAL OF CHEMISTRY,Arabian Journal of Chemistry,https://openalex.org/S2357026,1878-5352|1878-5379,4692,Elsevier BV
ARCHAEOLOGICAL AND ANTHROPOLOGICAL SCIENCES,Archaeological and Anthropological Sciences,https://openalex.org/S160634688,1866-9557|1866-9565,1750,Springer Nature
ARCHAEOLOGICAL PROSPECTION,Archaeological Prospection,https://openalex.org/S180658431,1075-2196|1099-0763,957,Wiley
ARCHAEOMETRY,Archaeometry,https://openalex.org/S35512523,0003-813X|1475-4754,2868,Wiley
ARCHITECTURAL ENGINEERING AND DESIGN MANAGEMENT,Architectural Engineering and Design Management,https://openalex.org/S114114101,1745-2007|1752-7589,532,Taylor & Francis
ARCHIV DER MATHEMATIK,Archiv der Mathematik,https://openalex.org/S77748030,0003-889X|1420-8938,9459,Birkhäuser
ARCHIV DER PHARMAZIE,Archiv der Pharmazie,https://openalex.org/S174911965,0365-6233|1521-4184,48280,Wiley
ARCHIVE FOR HISTORY OF EXACT SCIENCES,Archive for History of Exact Sciences,https://openalex.org/S4501114,0003-9519|1432-0657,1046,Springer Science+Business Media
ARCHIVE FOR MATHEMATICAL LOGIC,Archive for Mathematical Logic,https://openalex.org/S188076996,0933-5846|1432-0665,1862,Springer Science+Business Media
ARCHIVE FOR RATIONAL MECHANICS AND ANALYSIS,Archive for Rational Mechanics and Analysis,https://openalex.org/S136982523,0003-9527|1432-0673,5055,Springer Science+Business Media
ARCHIVE OF APPLIED MECHANICS,Archive of Applied Mechanics,https://openalex.org/S76739556,0939-1533|1432-0681,3382,Springer Science+Business Media
ARCHIVES ANIMAL BREEDING,Archives Animal Breeding,https://openalex.org/S2737027667,,11,Copernicus Publications
ARCHIVES OF ACOUSTICS,Archives of Acoustics,https://openalex.org/S146157322,0137-5075|2300-262X,1594,De Gruyter
ARCHIVES OF AGRONOMY AND SOIL SCIENCE,Archives of Agronomy and Soil Science,https://openalex.org/S50537447,0365-0340|1476-3567,3638,Taylor & Francis
ARCHIVES OF ANIMAL NUTRITION,Archives of Animal Nutrition,https://openalex.org/S101518821,1477-2817|1745-039X,1090,Taylor & Francis
ARCHIVES OF BIOCHEMISTRY AND BIOPHYSICS,Archives of Biochemistry and Biophysics,https://openalex.org/S153476765,0003-9861|1096-0384,33802,Elsevier BV
ARCHIVES OF BIOLOGICAL SCIENCES,Archives of Biological Sciences,https://openalex.org/S100658864,0354-4664|1821-4339,2082,"University of Belgrade, University of Novi Sad"
ARCHIVES OF CARDIOVASCULAR DISEASES,Archives of cardiovascular diseases,https://openalex.org/S174489444,1875-2128|1875-2136,2232,Elsevier BV
ARCHIVES OF CIVIL AND MECHANICAL ENGINEERING,Archives of Civil and Mechanical Engineering,https://openalex.org/S74158711,1644-9665|2083-3318,1802,Springer Science+Business Media
ARCHIVES OF CLINICAL NEUROPSYCHOLOGY,Archives of Clinical Neuropsychology,https://openalex.org/S13265631,0887-6177|1873-5843,11763,Oxford University Press
ARCHIVES OF COMPUTATIONAL METHODS IN ENGINEERING,Archives of Computational Methods in Engineering,https://openalex.org/S65486112,1134-3060|1886-1784,996,Springer Science+Business Media
ARCHIVES OF CONTROL SCIENCES,Archives of Control Sciences,https://openalex.org/S2736825055,1230-2384|2300-2611,539,De Gruyter Open
ARCHIVES OF DERMATOLOGICAL RESEARCH,Archives of Dermatological Research,https://openalex.org/S33894392,0340-3696|1432-069X,17299,Springer Science+Business Media
ARCHIVES OF DISEASE IN CHILDHOOD,Archives of Disease in Childhood,https://openalex.org/S207294652,0003-9888|1468-2044,34317,BMJ
ARCHIVES OF ENVIRONMENTAL & OCCUPATIONAL HEALTH,Archives of Environmental & Occupational Health,https://openalex.org/S204015880,1933-8244|2154-4700,924,Taylor & Francis
ARCHIVES OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY,Archives of Environmental Contamination and Toxicology,https://openalex.org/S134475343,0090-4341|1432-0703,5986,Springer Science+Business Media
ARCHIVES OF ENVIRONMENTAL PROTECTION,Archives of Environmental Protection,https://openalex.org/S4210196861,2083-4810|2083-4772,465,De Gruyter Open
ARCHIVES OF GERONTOLOGY AND GERIATRICS,Archives of Gerontology and Geriatrics,https://openalex.org/S153378518,0167-4943|1872-6976,5293,Elsevier BV
ARCHIVES OF GYNECOLOGY AND OBSTETRICS,Archives of Gynecology and Obstetrics,https://openalex.org/S568598,0932-0067|1432-0711,10479,Springer Science+Business Media
ARCHIVES OF INSECT BIOCHEMISTRY AND PHYSIOLOGY,Archives of Insect Biochemistry and Physiology,https://openalex.org/S14369749,0739-4462|1520-6327,3443,Wiley
ARCHIVES OF IRANIAN MEDICINE,Archives of Iranian Medicine,https://openalex.org/S112058147,1029-2977|1735-3947,464,"Academy of Medical Sciences, I.R. Iran"
ARCHIVES OF MECHANICS,Archives of Mechanics,https://openalex.org/S47149486,0373-2029,881,Polish Scientific Publishers PWN
ARCHIVES OF MEDICAL RESEARCH,Archives of Medical Research,https://openalex.org/S157833918,0188-4409|1873-5487,3134,Elsevier BV
ARCHIVES OF MEDICAL SCIENCE,Archives of Medical Science,https://openalex.org/S30890154,1734-1922|1896-9151,3388,Termedia Publishing House
ARCHIVES OF METALLURGY AND MATERIALS,Archives of Metallurgy and Materials,https://openalex.org/S20440071,1733-3490|2300-1909,2905,De Gruyter Open
ARCHIVES OF MICROBIOLOGY,Archives of Microbiology,https://openalex.org/S111869560,0302-8933|1432-072X,12255,Springer Science+Business Media
ARCHIVES OF MINING SCIENCES,Archives of Mining Sciences,https://openalex.org/S12999175,0860-7001|1689-0469,995,De Gruyter
ARCHIVES OF NATURAL HISTORY,Archives of Natural History,https://openalex.org/S143736624,0260-9541|1755-6260,2974,Edinburgh University Press
ARCHIVES OF ORAL BIOLOGY,Archives of Oral Biology,https://openalex.org/S44717366,0003-9969|1879-1506,11044,Elsevier BV
ARCHIVES OF ORTHOPAEDIC AND TRAUMA SURGERY,Archives of Orthopaedic and Trauma Surgery,https://openalex.org/S118785805,0936-8051|1434-3916,6689,Springer Science+Business Media
ARCHIVES OF OSTEOPOROSIS,Archives of Osteoporosis,https://openalex.org/S151413946,1862-3522|1862-3514,1242,Springer Science+Business Media
ARCHIVES OF PATHOLOGY & LABORATORY MEDICINE,Archives of Pathology & Laboratory Medicine,https://openalex.org/S139062638,0003-9985|1543-2165,9618,American Medical Association
ARCHIVES OF PHARMACAL RESEARCH,Archives of Pharmacal Research,https://openalex.org/S119001223,0253-6269|1976-3786,5438,Springer Nature
ARCHIVES OF PHYSICAL MEDICINE AND REHABILITATION,Archives of Physical Medicine and Rehabilitation,https://openalex.org/S110924429,0003-9993|1532-821X,21981,Elsevier BV
